Customer Name,Customer ID,Row ID,Lenghth,Order Priority,Discount, Unit Price , Shipping Cost ,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Product Name,Product Base Margin,Country,Region,State or Province,City,Postal Code,Order Date,Ship Date, Profit ,Quantity ordered new,Sales,Order ID,Status
Frank Cross,2189,1008,4,High,9%, $16.98 , $12.39 ,Regular Air,Corporate,Office Supplies,Envelopes,Small Box,Brown Kraft Recycled Envelopes,35%,United States,East,New York,New York City,10177,08-05-2015,10-05-2015, $(48.57),22,381.91,7364,Returned
Marguerite Yu,1357,18645,4,High,7%, $119.99 , $16.80 ,Delivery Truck,Home Office,Technology,Office Machines,Jumbo Box,Epson C62 Color Inkjet Printer,35%,United States,Central,Texas,Weslaco,78596,28-06-2015,30-06-2015," $1,206.60 ",15,1748.69,88185,Accepted
Gina McKnight,524,21517,13,Not Specified,3%," $1,270.99 ", $19.99 ,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,35%,United States,South,Tennessee,Farragut,37922,20-01-2015,22-01-2015, $363.55 ,2,2589.01,91127,Accepted
Nina Horne Kelly,1733,567,13,Not Specified,2%," $1,270.99 ", $19.99 ,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,35%,United States,East,District of Columbia,Washington,20012,04-04-2015,06-04-2015," $9,228.23 ",36,45737.33,3841,Accepted
Christopher Meadows,1734,18567,13,Not Specified,2%," $1,270.99 ", $19.99 ,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,35%,United States,East,New York,Harrison,10528,04-04-2015,06-04-2015," $7,889.69 ",9,11434.33,88443,Accepted
Andrea Shaw,3397,20624,3,Low,0%," $1,270.99 ", $19.99 ,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,35%,United States,Central,Illinois,Danville,61832,07-06-2015,09-06-2015," $6,384.44 ",7,9252.81,87535,Accepted
Danielle Daniel,1471,21710,4,High,3%, $420.98 , $19.99 ,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,GBC DocuBind 200 Manual Binding Machine,35%,United States,East,Ohio,Westerville,43081,21-03-2015,22-03-2015," $3,043.03 ",10,4410.19,87077,Accepted
Alfred Singh,2062,20840,6,Medium,2%, $420.98 , $19.99 ,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,GBC DocuBind 200 Manual Binding Machine,35%,United States,South,Virginia,Mechanicsville,23111,29-01-2015,01-02-2015, $(162.69),10,4249.37,87146,Accepted
Angela Howe,387,20919,4,High,10%, $8.88 , $6.28 ,Express Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,GBC Instant Index™ System for Binding Systems,35%,United States,Central,Nebraska,Grand Island,68801,12-06-2015,14-06-2015, $(27.28),15,126.9,90339,Accepted
Joyce Murray,451,18536,3,Low,1%, $8.88 , $6.28 ,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,GBC Instant Index™ System for Binding Systems,35%,United States,West,California,Los Altos,94024,05-01-2015,10-01-2015, $(15.46),2,19.86,86013,Accepted
Gary Hester,1233,21206,8,Critical,10%, $120.98 , $9.07 ,Express Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,GBC VeloBinder Electric Binding Machine,35%,United States,Central,Texas,Flower Mound,75028,09-04-2015,11-04-2015, $297.46 ,5,568.24,89375,Accepted
Neil Barbee,3124,25060,13,Not Specified,5%, $120.98 , $9.07 ,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,GBC VeloBinder Electric Binding Machine,35%,United States,Central,Illinois,Moline,61265,30-05-2015,31-05-2015, $881.05 ,11,1276.88,87286,Accepted
Glenda Simon,3355,23906,3,Low,10%, $120.98 , $9.07 ,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,GBC VeloBinder Electric Binding Machine,35%,United States,West,California,Camarillo,93010,28-02-2015,09-03-2015, $379.40 ,5,549.85,88587,Accepted
Carrie McIntosh,3347,18947,6,Medium,7%, $7.68 , $6.16 ,Express Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,GBC VeloBinder Strips,35%,United States,South,Florida,Royal Palm Beach,33411,06-01-2015,08-01-2015, $126.00 ,1,22.13,89355,Accepted
Kim Weiss,349,1595,6,Medium,4%, $99.23 , $8.99 ,Regular Air,Home Office,Furniture,Office Furnishings,Small Pack,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",35%,United States,South,Florida,Miami,33132,02-01-2015,04-01-2015," $1,916.68 ",54,5555.6,11527,Accepted
Juanita Coley Knox,351,19595,6,Medium,4%, $99.23 , $8.99 ,Regular Air,Home Office,Furniture,Office Furnishings,Small Pack,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",35%,United States,East,New York,Watertown,13601,02-01-2015,04-01-2015, $993.83 ,14,1440.34,88686,Accepted
Glenda Hunter,3151,21734,4,High,1%, $99.23 , $8.99 ,Regular Air,Corporate,Furniture,Office Furnishings,Small Pack,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",35%,United States,West,California,Twentynine Palms,92277,29-03-2015,02-04-2015, $(87.46),1,99.22,88548,Accepted
Earl Roy,1363,23011,6,Medium,5%, $12.97 , $1.49 ,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,"Mead 1st Gear 2"" Zipper Binder, Asst. Colors",35%,United States,South,Florida,Casselberry,32707,04-02-2015,06-02-2015, $5.47 ,2,26.37,89993,Accepted
Karl Knowles,2555,23583,8,Critical,0%, $12.97 , $1.49 ,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,"Mead 1st Gear 2"" Zipper Binder, Asst. Colors",35%,United States,Central,Wisconsin,Madison,53711,02-02-2015,03-02-2015, $180.23 ,19,261.21,86529,Accepted
Caroline Stone,2718,21863,8,Critical,10%, $6.74 , $1.72 ,Regular Air,Consumer,Office Supplies,Paper,Wrap Bag,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",35%,United States,Central,Illinois,Lansing,60438,01-03-2015,03-03-2015, $65.41 ,15,98.17,89394,Accepted
Marlene Abrams,579,18665,6,Medium,1%, $11.58 , $5.72 ,Regular Air,Corporate,Office Supplies,Envelopes,Small Box,"Peel & Seel® Recycled Catalog Envelopes, Brown",35%,United States,East,Connecticut,Seymour,6478,13-05-2015,15-05-2015, $(6.61),2,25.06,88644,Accepted
Ronnie Nolan,1580,22127,3,Low,10%, $11.58 , $6.97 ,Regular Air,Corporate,Office Supplies,Envelopes,Small Box,"Peel & Seel® Recycled Catalog Envelopes, Brown",35%,United States,East,Maine,Waterville,4901,16-02-2015,20-02-2015, $(8.40),1,14.53,90934,Accepted
Marsha Roy,1971,26220,6,Medium,2%, $11.58 , $5.72 ,Regular Air,Corporate,Office Supplies,Envelopes,Small Box,"Peel & Seel® Recycled Catalog Envelopes, Brown",35%,United States,South,Mississippi,Tupelo,38801,18-01-2015,19-01-2015, $(259.76),3,35.48,91550,Accepted
Gordon Boswell,2339,22526,6,Medium,5%, $11.58 , $6.97 ,Regular Air,Home Office,Office Supplies,Envelopes,Small Box,"Peel & Seel® Recycled Catalog Envelopes, Brown",35%,United States,Central,Texas,Cloverleaf,77015,25-05-2015,28-05-2015, $2.81 ,6,73.96,91482,Accepted
April Henson,2776,24123,8,Critical,4%, $1.68 , $1.00 ,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,Prang Dustless Chalk Sticks,35%,United States,East,Maryland,Gaithersburg,20877,12-01-2015,14-01-2015, $2.07 ,8,14.18,91228,Accepted
Laurie Petty,3177,22086,8,Critical,6%, $1.68 , $1.00 ,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,Prang Dustless Chalk Sticks,35%,United States,South,Florida,Jupiter,33458,31-03-2015,02-04-2015," $(1,319.50)",5,8.65,90819,Accepted
Patsy Harmon,1368,26034,6,Medium,9%, $4.55 , $1.49 ,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,Presstex Flexible Ring Binders,35%,United States,Central,Texas,Lufkin,75901,23-03-2015,25-03-2015, $16.90 ,6,25.45,90514,Accepted
Tina Monroe,2394,20198,8,Critical,3%, $4.55 , $1.49 ,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Presstex Flexible Ring Binders,35%,United States,South,Georgia,Sandy Springs,30328,01-05-2015,01-05-2015, $100.38 ,9,40.28,86949,Accepted
Karen Warren,2563,22374,13,Not Specified,8%, $4.55 , $1.49 ,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,Presstex Flexible Ring Binders,35%,United States,Central,Minnesota,Fridley,55432,08-04-2015,09-04-2015, $27.03 ,9,39.17,91447,Accepted
Elsie Lane,2944,19575,3,Low,4%, $4.55 , $1.49 ,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Presstex Flexible Ring Binders,35%,United States,Central,Michigan,Midland,48640,05-03-2015,07-03-2015, $28.29 ,13,59.75,90309,Accepted
Victoria Baker Hoover,92,23069,4,High,7%, $8.34 , $1.43 ,Regular Air,Home Office,Office Supplies,Paper,Wrap Bag,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",35%,United States,South,Louisiana,Terrytown,70056,17-05-2015,19-05-2015, $(190.68),16,132.08,87175,Accepted
Edna Monroe Talley,550,23209,6,Medium,6%, $549.99 , $49.00 ,Delivery Truck,Corporate,Technology,Copiers and Fax,Jumbo Drum,Sharp 1540cs Digital Laser Copier,35%,United States,Central,Texas,Seguin,78155,12-06-2015,13-06-2015," $4,637.41 ",13,6720.88,90910,Accepted
Molly Webster,2141,18410,4,High,2%, $549.99 , $49.00 ,Delivery Truck,Home Office,Technology,Copiers and Fax,Jumbo Drum,Sharp 1540cs Digital Laser Copier,35%,United States,West,Colorado,Durango,81301,18-02-2015,20-02-2015, $(381.84),18,9798.84,87570,Accepted
Lawrence Haas,3170,26055,6,Medium,10%, $7.28 , $5.47 ,Regular Air,Corporate,Office Supplies,Paper,Small Box,Southworth Structures Collection™,35%,United States,South,Florida,Port Saint Lucie,34952,13-02-2015,13-02-2015, $167.33 ,12,83.14,86489,Accepted
Joe D Dean,1369,26035,6,Medium,7%, $9.78 , $5.76 ,Express Air,Consumer,Office Supplies,Envelopes,Small Box,"Staples #10 Laser & Inkjet Envelopes, 4 1/8"" x 9 1/2"", 100/Box",35%,United States,Central,Texas,Mansfield,76063,23-03-2015,25-03-2015, $20.14 ,11,110.72,90514,Accepted
James Beck,268,18770,3,Low,2%, $5.58 , $5.30 ,Regular Air,Home Office,Office Supplies,Envelopes,Small Box,Staples Brown Kraft Recycled Clasp Envelopes,35%,United States,West,Arizona,Flagstaff,86001,07-04-2015,12-04-2015, $(22.48),3,18.67,88941,Accepted
Eleanor Swain,272,770,3,Low,2%, $5.58 , $5.30 ,Regular Air,Home Office,Office Supplies,Envelopes,Small Box,Staples Brown Kraft Recycled Clasp Envelopes,35%,United States,South,North Carolina,Charlotte,28204,07-04-2015,12-04-2015, $(29.90),11,68.46,5509,Accepted
Melvin Benton,3017,22064,8,Critical,1%, $5.58 , $5.30 ,Regular Air,Corporate,Office Supplies,Envelopes,Small Box,Staples Brown Kraft Recycled Clasp Envelopes,35%,United States,West,California,Encinitas,92024,09-01-2015,10-01-2015, $(7.25),1,11.16,89071,Accepted
Ricky Hensley,33,23654,13,Not Specified,3%, $4.24 , $5.41 ,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Storex DuraTech Recycled Plastic Frosted Binders,35%,United States,West,Oregon,Gresham,97030,15-06-2015,17-06-2015, $(84.44),13,58.68,89201,Accepted
Leah Davenport,853,26093,4,High,5%, $4.24 , $5.41 ,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,Storex DuraTech Recycled Plastic Frosted Binders,35%,United States,West,California,Hesperia,92345,16-03-2015,18-03-2015, $(89.22),12,50.83,88570,Accepted
James Dickinson Ball,2004,24075,6,Medium,6%, $4.24 , $5.41 ,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,Storex DuraTech Recycled Plastic Frosted Binders,35%,United States,West,Montana,Bozeman,59715,17-04-2015,19-04-2015, $(78.92),10,45,91277,Accepted
Claudia Webb,2066,25381,3,Low,10%, $4.24 , $5.41 ,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Storex DuraTech Recycled Plastic Frosted Binders,35%,United States,South,North Carolina,Indian Trail,28079,19-04-2015,23-04-2015, $(61.60),8,34.16,85835,Accepted
Marjorie Burnette,2813,24604,6,Medium,7%, $30.56 , $2.99 ,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Surelock™ Post Binders,35%,United States,South,Tennessee,Cleveland,37311,07-02-2015,07-02-2015, $(95.62),12,364.92,88819,Accepted
Mary Norman,3287,21567,3,Low,8%, $30.56 , $2.99 ,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,Surelock™ Post Binders,35%,United States,West,California,Granite Bay,95746,25-05-2015,27-05-2015, $352.88 ,17,511.42,89897,Accepted
Annie Odom,2089,21699,3,Low,10%, $3.98 , $2.97 ,Express Air,Corporate,Office Supplies,Paper,Wrap Bag,Unpadded Memo Slips,35%,United States,East,New York,New City,10956,30-06-2015,04-07-2015, $(5.39),5,20.54,88348,Accepted
Joyce Murray,451,21117,8,Critical,4%, $37.70 , $2.99 ,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,Vinyl Sectional Post Binders,35%,United States,West,California,Los Altos,94024,27-05-2015,28-05-2015, $299.67 ,12,434.31,86012,Accepted
Glen Newman,1023,18922,8,Critical,10%, $37.70 , $2.99 ,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,Vinyl Sectional Post Binders,35%,United States,East,Pennsylvania,Wilkinsburg,15221,15-05-2015,16-05-2015, $455.12 ,18,659.6,88633,Accepted
Lynn Hines,2338,26137,4,High,10%, $6.75 , $2.99 ,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,Wilson Jones DublLock® D-Ring Binders,35%,United States,East,Maryland,College Park,20740,29-03-2015,29-03-2015, $18.15 ,15,96.13,91481,Accepted
Monica Stuart,3230,19063,8,Critical,7%, $48.94 , $5.86 ,Express Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1916,35%,United States,Central,Wisconsin,Waukesha,53186,13-06-2015,14-06-2015, $690.70 ,21,1001.02,87436,Accepted
Sandra Faulkner,2419,22377,13,Not Specified,3%, $7.84 , $4.71 ,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,XtraLife® ClearVue™ Slant-D® Ring Binders by Cardinal,35%,United States,South,Virginia,Portsmouth,23701,26-03-2015,29-03-2015, $859.72 ,7,54.37,86751,Accepted
Vicki Womble,2855,23042,6,Medium,8%, $7.84 , $4.71 ,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,XtraLife® ClearVue™ Slant-D® Ring Binders by Cardinal,35%,United States,West,Washington,Des Moines,98198,21-01-2015,22-01-2015, $(12.88),10,76.16,87316,Accepted
Pam Patton,1129,1917,6,Medium,2%, $7.64 , $1.39 ,Regular Air,Home Office,Office Supplies,Envelopes,Small Box,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",36%,United States,East,Massachusetts,Boston,2118,21-05-2015,23-05-2015, $117.38 ,52,406.91,13735,Accepted
Benjamin Strauss,1131,19917,6,Medium,2%, $7.64 , $1.39 ,Regular Air,Home Office,Office Supplies,Envelopes,Small Box,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",36%,United States,Central,Texas,El Paso,79907,21-05-2015,23-05-2015, $70.19 ,13,101.73,88103,Accepted
Amy Hall,1907,19049,3,Low,9%, $7.64 , $1.39 ,Regular Air,Corporate,Office Supplies,Envelopes,Small Box,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",36%,United States,East,Ohio,Lorain,44052,17-05-2015,26-05-2015, $0.69 ,1,8.34,86500,Accepted
Nicole Pope,2258,26361,3,Low,1%, $7.64 , $1.39 ,Express Air,Corporate,Office Supplies,Envelopes,Small Box,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",36%,United States,South,North Carolina,Rocky Mount,27801,09-03-2015,13-03-2015," $(1,676.61)",9,73.29,87962,Accepted
Adam Saunders Gray,1315,21166,6,Medium,0%, $4.91 , $5.68 ,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",36%,United States,West,Colorado,Colorado Springs,80906,30-03-2015,31-03-2015, $(95.05),9,48.3,87602,Accepted
Monica Stuart,3230,19062,8,Critical,6%, $4.91 , $5.68 ,Express Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",36%,United States,Central,Wisconsin,Waukesha,53186,13-06-2015,13-06-2015, $(31.69),10,53.89,87436,Accepted
Robert Cowan,618,18490,13,Not Specified,6%, $5.38 , $5.24 ,Express Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,"Acco PRESSTEX® Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",36%,United States,West,Colorado,Pueblo West,81007,29-04-2015,30-04-2015, $(64.67),14,81.82,88198,Accepted
Harry Sellers,2164,22450,13,Not Specified,1%, $5.38 , $7.57 ,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,"Acco PRESSTEX® Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",36%,United States,West,California,Pasadena,91104,09-01-2015,10-01-2015, $(66.78),3,18.68,88794,Accepted
Wallace Werner,91,19877,6,Medium,5%, $5.18 , $2.04 ,Regular Air,Home Office,Office Supplies,Paper,Wrap Bag,Array® Memo Cubes,36%,United States,West,California,Vallejo,94591,18-02-2015,20-02-2015, $34.01 ,10,53.54,87176,Accepted
Monica Law Thompson,829,24236,13,Not Specified,1%, $5.18 , $2.04 ,Regular Air,Corporate,Office Supplies,Paper,Wrap Bag,Array® Memo Cubes,36%,United States,South,Arkansas,Texarkana,71854,22-02-2015,24-02-2015, $(17.65),5,28.46,90271,Accepted
Harriet Hodges,898,1312,13,Not Specified,7%, $5.18 , $2.04 ,Express Air,Small Business,Office Supplies,Paper,Wrap Bag,Array® Memo Cubes,36%,United States,East,New York,New York City,10039,27-01-2015,29-01-2015, $37.31 ,44,228.5,9606,Accepted
Jordan Berry,899,19312,13,Not Specified,7%, $5.18 , $2.04 ,Express Air,Small Business,Office Supplies,Paper,Wrap Bag,Array® Memo Cubes,36%,United States,East,Pennsylvania,Altoona,16602,27-01-2015,29-01-2015, $37.31 ,11,57.13,86264,Accepted
Wanda Harris,3246,23267,3,Low,6%, $5.18 , $2.04 ,Regular Air,Small Business,Office Supplies,Paper,Wrap Bag,Array® Memo Cubes,36%,United States,East,New Hampshire,Hudson,3051,01-04-2015,01-04-2015, $1.95 ,4,21.86,88330,Accepted
Edward Leonard,485,20668,13,Not Specified,5%, $2.88 , $0.50 ,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 49,36%,United States,West,California,Fresno,93727,18-03-2015,20-03-2015, $6.05 ,3,8.77,91062,Accepted
Norman Shields,87,23841,4,High,9%, $4.91 , $0.50 ,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 493,36%,United States,West,California,Vacaville,95687,22-03-2015,23-03-2015, $28.86 ,9,41.82,90597,Accepted
Ron Newton,114,19950,6,Medium,1%, $4.91 , $0.50 ,Regular Air,Home Office,Office Supplies,Labels,Small Box,Avery 493,36%,United States,West,Oregon,Lake Oswego,97035,04-04-2015,06-04-2015, $40.25 ,12,58.33,89584,Accepted
Linda Weiss,117,1950,6,Medium,1%, $4.91 , $0.50 ,Regular Air,Home Office,Office Supplies,Labels,Small Box,Avery 493,36%,United States,West,Washington,Seattle,98103,04-04-2015,06-04-2015, $112.06 ,47,228.46,13959,Returned
Cathy Simon,2014,18990,4,High,0%, $4.91 , $0.50 ,Regular Air,Home Office,Office Supplies,Labels,Small Box,Avery 493,36%,United States,Central,Iowa,Council Bluffs,51503,22-03-2015,24-03-2015, $7.25 ,2,10.51,88367,Accepted
Larry Langston,2286,21529,6,Medium,0%, $4.91 , $0.50 ,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 493,36%,United States,South,South Carolina,Spartanburg,29301,04-02-2015,06-02-2015, $99.20 ,12,61.87,90145,Accepted
Ricky Sanders,2472,26057,3,Low,10%, $4.91 , $0.50 ,Express Air,Home Office,Office Supplies,Labels,Small Box,Avery 493,36%,United States,Central,Illinois,Joliet,60432,21-02-2015,21-02-2015, $35.28 ,10,51.13,86514,Accepted
Gordon Walker,2488,20065,4,High,8%, $4.91 , $0.50 ,Regular Air,Consumer,Office Supplies,Labels,Small Box,Avery 493,36%,United States,South,Arkansas,Cabot,72023,09-04-2015,09-04-2015, $12.73 ,9,42.69,86887,Accepted
Sean N Boyer,2491,2065,4,High,8%, $4.91 , $0.50 ,Regular Air,Consumer,Office Supplies,Labels,Small Box,Avery 493,36%,United States,West,California,Los Angeles,90045,09-04-2015,09-04-2015, $31.75 ,36,170.75,14785,Accepted
Jon Ayers,1531,21199,8,Critical,7%, $4.91 , $0.50 ,Regular Air,Consumer,Office Supplies,Labels,Small Box,Avery 508,36%,United States,South,Florida,Palm Coast,32137,17-01-2015,18-01-2015, $(157.70),6,28.22,88852,Accepted
Karl Knowles,2555,23584,8,Critical,6%, $4.91 , $0.50 ,Regular Air,Home Office,Office Supplies,Labels,Small Box,Avery 508,36%,United States,Central,Wisconsin,Madison,53711,02-02-2015,02-02-2015, $29.53 ,9,42.79,86529,Accepted
Cameron Kendall,2797,23350,6,Medium,2%, $4.91 , $0.50 ,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 508,36%,United States,East,Pennsylvania,Pittsburgh,15122,21-01-2015,22-01-2015, $29.88 ,9,43.31,87553,Accepted
Marshall Brandt Briggs,247,18842,6,Medium,9%, $2.88 , $0.99 ,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 514,36%,United States,South,Tennessee,Maryville,37804,21-03-2015,23-03-2015, $(145.08),10,28.73,89140,Accepted
Joyce Murray,451,18537,3,Low,6%, $2.88 , $0.99 ,Regular Air,Home Office,Office Supplies,Labels,Small Box,Avery 514,36%,United States,West,California,Los Altos,94024,05-01-2015,14-01-2015, $16.05 ,8,23.26,86013,Accepted
Caroline Johnston,102,495,6,Medium,9%, $2.88 , $1.49 ,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,Avery Durable Binders,36%,United States,East,Massachusetts,Boston,2129,22-06-2015,23-06-2015, $(3.38),17,47.31,3397,Accepted
Tom McFarland,109,18495,6,Medium,9%, $2.88 , $1.49 ,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,Avery Durable Binders,36%,United States,East,New Jersey,Lodi,7644,22-06-2015,23-06-2015, $(2.70),4,11.13,88205,Accepted
Ernest Oh,949,1279,9,Critical ,6%, $40.98 , $2.99 ,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36%,United States,West,California,Los Angeles,90049,02-01-2015,04-01-2015, $(19.10),3,124.81,9285,Accepted
Jane Shah,950,19279,8,Critical,6%, $40.98 , $2.99 ,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36%,United States,Central,Minnesota,Prior Lake,55372,02-01-2015,04-01-2015, $(14.80),1,41.6,89083,Accepted
Clifford Webb,1840,18141,13,Not Specified,7%, $40.98 , $2.99 ,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36%,United States,East,Massachusetts,Townsend,1469,30-03-2015,01-04-2015, $369.21 ,13,535.08,86599,Accepted
